ID, COUNTRY, RESERVES OF FOREIGN EXCHANGE AND GOLD
1,	China	,    3341000000000,
2,	Japan	,    1268000000000,
3,	European Union	,     863800000000,
4,	Saudi Arabia	,     656900000000,
5,	Russia	,     537600000000,
6,	Switzerland	,     531100000000,
7,	Taiwan	,     408500000000,
8,	Brazil	,     373100000000,
9,	Korea South	,     327000000000,
10,	Hong Kong	,     317400000000,
11,	India	,     297800000000,
12,	Singapore	,     259100000000,
13,	Germany	,     248900000000,
14,	Algeria	,     191600000000,
15,	France	,     184500000000,
16,	Italy	,     181700000000,
17,	Thailand	,     181600000000,
18,	Mexico	,     167100000000,
19,	United States	,     150200000000,
20,	Malaysia	,     139700000000,
21,	Turkey	,     119200000000,
22,	Libya	,     118600000000,
23,	Indonesia	,     112800000000,
24,	Poland	,     108900000000,
25,	United Kingdom	,     105100000000,
26,	Denmark	,      89700000000,
27,	Philippines	,      83830000000,
28,	Israel	,      75910000000,
29,	Iran	,      74060000000,
30,	Iraq	,      70330000000,
31,	Canada	,      68550000000,
32,	Peru	,      64170000000,
33,	Netherlands	,      54820000000,
34,	Lebanon	,      52500000000,
35,	Sweden	,      52230000000,
36,	Norway	,      51860000000,
37,	South Africa	,      50700000000,
38,	Spain	,      50590000000,
39,	Australia	,      49150000000,
40,	United Arab Emirates	,      47040000000,
41,	Romania	,      46710000000,
42,	Nigeria	,      46410000000,
43,	Czech Republic	,      44880000000,
44,	Hungary	,      44670000000,
45,	Argentina	,      43250000000,
46,	Chile	,      41650000000,
47,	Colombia	,      37000000000,
48,	Angola	,      33410000000,
49,	Qatar	,      33190000000,
50,	Belgium	,      30770000000,
51,	Venezuela	,      29890000000,
52,	Kuwait	,      29000000000,
53,	Kazakhstan	,      28280000000,
54,	Austria	,      27210000000,
55,	Vietnam	,      26110000000,
56,	Ukraine	,      24550000000,
57,	Portugal	,      22660000000,
58,	Turkmenistan	,      20710000000,
59,	Bulgaria	,      20500000000,
60,	New Zealand	,      17580000000,
61,	Morocco	,      17540000000,
62,	Macau	,      16600000000,
63,	Uzbekistan	,      16000000000,
64,	Egypt	,      14930000000,
65,	Croatia	,      14810000000,
66,	Oman	,      14400000000,
67,	Serbia	,      14400000000,
68,	Bolivia	,      13930000000,
69,	Pakistan	,      13800000000,
70,	Uruguay	,      13600000000,
71,	Bangladesh	,      12750000000,
72,	Azerbaijan	,      11280000000,
73,	Finland	,      11080000000,
74,	Trinidad and Tobago	,       9897000000,
75,	Jordan	,       8829000000,
76,	Lithuania	,       8529000000,
77,	Tunisia	,       8360000000,
78,	Botswana	,       7628000000,
79,	Latvia	,       7523000000,
80,	Greece	,       7255000000,
81,	Sri Lanka	,       7105000000,
82,	Burma	,       6977000000,
83,	Costa Rica	,       6857000000,
84,	Guatemala	,       6694000000,
85,	Yemen	,       6158000000,
86,	Afghanistan	,       5983000000,
87,	Belarus	,       5809000000,
88,	Kenya	,       5712000000,
89,	Ghana	,       5705000000,
90,	Congo Republic of the	,       5568000000,
91,	Bahrain	,       5211000000,
92,	Paraguay	,       4994000000,
93,	Cambodia	,       4938000000,
94,	Syria	,       4793000000,
95,	Cuba	,       4693000000,
96,	Equatorial Guinea	,       4397000000,
97,	Nepal	,       4339000000,
98,	Bosnia and Herzegovina	,       4283000000,
99,	Iceland	,       4192000000,
100,	Tanzania	,       4053000000,
101,	Papua New Guinea	,       4001000000,
102,	Cote d'Ivoire	,       3928000000,
103,	Dominican Republic	,       3579000000,
104,	Cameroon	,       3431000000,
105,	Ethiopia	,       3272000000,
106,	El Salvador	,       3176000000,
107,	Uganda	,       3167000000,
108,	Mauritius	,       3046000000,
109,	Zambia	,       3042000000,
110,	Macedonia	,       2891000000,
111,	Georgia	,       2873000000,
112,	Mozambique	,       2770000000,
113,	Albania	,       2600000000,
114,	Honduras	,       2533000000,
115,	Slovakia	,       2519000000,
116,	Moldova	,       2515000000,
117,	Ecuador	,       2483000000,
118,	Panama	,       2466000000,
119,	Gabon	,       2373000000,
120,	Senegal	,       2082000000,
121,	Kyrgyzstan	,       2066000000,
122,	Jamaica	,       1981000000,
123,	Nicaragua	,       1887000000,
124,	Armenia	,       1799000000,
125,	Namibia	,       1738000000,
126,	Ireland	,       1707000000,
127,	Congo Democratic Republic of the	,       1633000000,
128,	Haiti	,       1287000000,
129,	Cyprus	,       1191000000,
130,	Madagascar	,       1191000000,
131,	Chad	,       1174000000,
132,	Burkina Faso	,       1025000000,
133,	Suriname	,       1008000000,
134,	Luxembourg	,        991000000,
135,	Slovenia	,        951900000,
136,	Fiji	,        921400000,
137,	Guyana	,        864000000,
138,	Rwanda	,        847800000,
139,	Bahamas The	,        846900000,
140,	Barbados	,        839700000,
141,	Laos	,        796900000,
142,	Lesotho	,        749400000,
143,	Swaziland	,        741000000,
144,	Benin	,        712800000,
145,	Malta	,        704900000,
146,	Tajikistan	,        628500000,
147,	Zimbabwe	,        575600000,
148,	Togo	,        441600000,
149,	Montenegro	,        400000000,
150,	Cabo Verde	,        376000000,
151,	Maldives	,        356000000,
152,	Seychelles	,        318700000,
153,	Burundi	,        308800000,
154,	Estonia	,        300700000,
155,	Belize	,        288900000,
156,	Malawi	,        246000000,
157,	Gambia The	,        236200000,
158,	Sudan	,        192600000,
159,	Vanuatu	,        187300000,
160,	Eritrea	,        174400000,
161,	Guinea	,        174300000,
162,	Samoa	,        168700000,
163,	Tonga	,        152400000,
164,	Saint Vincent and the Grenadines	,        111000000,
165,	Dominica	,         94560000,
166,	Micronesia Federated States of	,         75060000,
167,	Sao Tome and Principe	,         51590000,
168,	Montserrat	,         32080000,
